Transaksi,Tanggal,Waktu,Menu,Harga,Jumlah,Total
1,21/10/2024,8:14:37 PM,Ayam Bakar,Rp30.000,3,Rp90.000
1,21/10/2024,8:14:37 PM,Dada Tuna Bakar,Rp40.000,1,Rp40.000
1,21/10/2024,8:14:37 PM,Kacang Goreng,Rp4.000,1,Rp4.000
1,21/10/2024,8:14:37 PM,Nasi Putih,Rp5.000,1,Rp5.000
1,21/10/2024,8:14:37 PM,Jeruk Panas,Rp10.000,1,Rp10.000
1,21/10/2024,8:14:37 PM,Jus Alpukat,Rp20.000,1,Rp20.000
2,21/10/2024,8:44:34 AM,Sop Konro,Rp50.000,2,Rp100.000
2,21/10/2024,8:44:34 AM,Sop Kikil,Rp40.000,1,Rp40.000
2,21/10/2024,8:44:34 AM,Jus Mangga,Rp20.000,1,Rp20.000
2,21/10/2024,8:44:34 AM,Es Jeruk,Rp10.000,2,Rp20.000
3,21/10/2024,12:01:40 PM,Ikan Goreng Tepung,Rp50.000,3,Rp150.000
3,21/10/2024,12:01:40 PM,Es Jeruk,Rp10.000,2,Rp20.000
4,21/10/2024,3:44:37 PM,Ayam Geprek,Rp30.000,3,Rp90.000
4,21/10/2024,3:44:37 PM,Kerupuk,Rp3.000,2,Rp6.000
4,21/10/2024,3:44:37 PM,Teh Panas,Rp6.000,2,Rp12.000
5,21/10/2024,11:39:14 AM,Rahang Tuna Bakar,Rp50.000,2,Rp100.000
5,21/10/2024,11:39:14 AM,Nasi Putih,Rp5.000,1,Rp5.000
5,21/10/2024,11:39:14 AM,Jus Buah Naga,Rp20.000,1,Rp20.000
6,21/10/2024,1:00:08 PM,Dada Tuna Bakar,Rp40.000,2,Rp80.000
6,21/10/2024,1:00:08 PM,Ayam Goreng,Rp30.000,2,Rp60.000
6,21/10/2024,1:00:08 PM,Ayam Bakar,Rp30.000,1,Rp30.000
6,21/10/2024,1:00:08 PM,Buras,Rp2.000,1,Rp2.000
6,21/10/2024,1:00:08 PM,Kacang Goreng,Rp4.000,2,Rp8.000
6,21/10/2024,1:00:08 PM,Jus Buah Naga,Rp20.000,1,Rp20.000
6,21/10/2024,1:00:08 PM,Jus Mangga,Rp20.000,1,Rp20.000
6,21/10/2024,1:00:08 PM,Es Teh,Rp6.000,2,Rp12.000
7,21/10/2024,10:47:24 PM,Konro Bakar,Rp60.000,3,Rp180.000
7,21/10/2024,10:47:24 PM,Ikan Goreng Tepung,Rp50.000,2,Rp100.000
7,21/10/2024,10:47:24 PM,Jus Mangga,Rp20.000,1,Rp20.000
7,21/10/2024,10:47:24 PM,Jus Alpukat,Rp20.000,2,Rp40.000
8,21/10/2024,1:24:12 PM,Konro Bakar,Rp60.000,2,Rp120.000
8,21/10/2024,1:24:12 PM,Ikan Bakar Rica,Rp50.000,3,Rp150.000
8,21/10/2024,1:24:12 PM,Nasi Putih,Rp5.000,1,Rp5.000
8,21/10/2024,1:24:12 PM,Ketupat,Rp2.000,2,Rp4.000
8,21/10/2024,1:24:12 PM,Teh Panas,Rp6.000,2,Rp12.000
8,21/10/2024,1:24:12 PM,Jeruk Panas,Rp10.000,1,Rp10.000
9,21/10/2024,1:05:34 PM,Ikan Goreng Tepung,Rp50.000,2,Rp100.000
9,21/10/2024,1:05:34 PM,Jus Buah Naga,Rp20.000,1,Rp20.000
9,21/10/2024,1:05:34 PM,Teh Panas,Rp6.000,2,Rp12.000
10,21/10/2024,7:07:03 AM,Cumi Bakar,Rp45.000,3,Rp135.000
10,21/10/2024,7:07:03 AM,Ketupat,Rp2.000,2,Rp4.000
10,21/10/2024,7:07:03 AM,Jus Alpukat,Rp20.000,2,Rp40.000
11,21/10/2024,2:32:43 PM,Cumi Bakar,Rp45.000,2,Rp90.000
11,21/10/2024,2:32:43 PM,Konro Bakar,Rp60.000,1,Rp60.000
11,21/10/2024,2:32:43 PM,Nasi Putih,Rp5.000,2,Rp10.000
11,21/10/2024,2:32:43 PM,Kacang Goreng,Rp4.000,2,Rp8.000
11,21/10/2024,2:32:43 PM,Jeruk Panas,Rp10.000,1,Rp10.000
11,21/10/2024,2:32:43 PM,Jus Mangga,Rp20.000,1,Rp20.000
12,21/10/2024,11:59:08 AM,Ayam Geprek,Rp30.000,3,Rp90.000
12,21/10/2024,11:59:08 AM,Cumi Bakar,Rp45.000,1,Rp45.000
12,21/10/2024,11:59:08 AM,Sop Konro,Rp50.000,1,Rp50.000
12,21/10/2024,11:59:08 AM,Es Teh,Rp6.000,2,Rp12.000
12,21/10/2024,11:59:08 AM,Jeruk Panas,Rp10.000,2,Rp20.000
12,21/10/2024,11:59:08 AM,Es Jeruk,Rp10.000,2,Rp20.000
13,21/10/2024,3:42:02 PM,Coto Makassar,Rp35.000,1,Rp35.000
13,21/10/2024,3:42:02 PM,Ketupat,Rp2.000,3,Rp6.000
13,21/10/2024,3:42:02 PM,Ayam Bakar,Rp30.000,2,Rp60.000
13,21/10/2024,3:42:02 PM,Es Jeruk,Rp10.000,2,Rp20.000
13,21/10/2024,3:42:02 PM,Jus Alpukat,Rp20.000,1,Rp20.000
14,21/10/2024,10:10:39 PM,Sop Kikil,Rp40.000,3,Rp120.000
14,21/10/2024,10:10:39 PM,Peyek,Rp4.000,1,Rp4.000
14,21/10/2024,10:10:39 PM,Kacang Goreng,Rp4.000,2,Rp8.000
14,21/10/2024,10:10:39 PM,Es Teh,Rp6.000,2,Rp12.000
